Parl,PCT
E14001062,E16000099
E14000556,E16000100
E14000596,E16000100
E14000683,E16000100
E14000724,E16000100
E14000773,E16000100
E14000771,E16000101
E14000772,E16000101
E14000773,E16000101
E14000587,E16000102
E14000588,E16000102
E14000589,E16000102
E14000766,E16000102
E14000925,E16000102
E14000622,E16000103
E14000888,E16000103
E14000899,E16000103
E14000957,E16000103
E14000552,E16000104
E14000801,E16000104
E14000813,E16000104
E14000841,E16000104
E14000949,E16000104
E14000681,E16000107
E14000694,E16000107
E14000697,E16000107
E14000719,E16000107
E14000824,E16000107
E14000893,E16000107
E14000907,E16000107
E14000953,E16000107
E14000959,E16000107
E14000983,E16000107
E14001047,E16000107
E14000534,E16000108
E14000576,E16000108
E14000633,E16000108
E14000652,E16000108
E14000682,E16000108
E14000753,E16000108
E14000817,E16000108
E14001055,E16000108
E14000557,E16000109
E14000597,E16000109
E14000684,E16000109
E14000786,E16000109
E14001023,E16000109
E14000557,E16000110
E14000735,E16000110
E14000626,E16000111
E14000659,E16000111
E14000700,E16000111
E14000715,E16000111
E14000804,E16000111
E14000918,E16000111
E14000997,E16000111
E14001004,E16000111
E14000583,E16000112
E14000625,E16000112
E14000728,E16000112
E14000797,E16000112
E14000858,E16000112
E14000909,E16000112
E14000940,E16000112
E14000782,E16000113
E14000783,E16000113
E14000784,E16000113
E14000648,E16000114
E14000660,E16000114
E14000769,E16000114
E14000861,E16000114
E14000862,E16000114
E14000942,E16000114
E14001025,E16000114
E14000671,E16000115
E14000672,E16000115
E14000722,E16000115
E14000976,E16000115
E14001050,E16000115
E14000722,E16000116
E14001016,E16000116
E14001029,E16000116
E14001030,E16000116
E14000561,E16000117
E14000563,E16000117
E14000568,E16000117
E14000985,E16000117
E14000834,E16000118
E14000966,E16000118
E14000973,E16000118
E14000975,E16000118
E14000966,E16000119
E14000972,E16000119
E14000973,E16000119
E14000974,E16000119
E14000610,E16000120
E14000618,E16000120
E14000791,E16000120
E14000945,E16000120
E14000965,E16000120
E14000975,E16000120
E14000986,E16000120
E14000605,E16000121
E14000818,E16000121
E14000892,E16000121
E14001035,E16000121
E14001052,E16000121
E14001058,E16000121
E14000767,E16000122
E14000854,E16000122
E14000868,E16000122
E14000905,E16000122
E14000977,E16000122
E14001019,E16000122
E14000855,E16000123
E14000878,E16000123
E14000617,E16000124
E14000757,E16000124
E14000842,E16000124
E14000855,E16000124
E14000934,E16000124
E14000937,E16000124
E14000603,E16000125
E14000816,E16000125
E14000848,E16000125
E14000859,E16000125
